year,name,avg
2019,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2018,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2017,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2016,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2015,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2014,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2013,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2012,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",125.0
2011,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2010,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2009,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2008,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",175.0
2007,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",225.0
2006,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",275.0
2005,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",275.0
2019,Державне підприємство “Завод 410 ЦА”,925.0
2018,Державне підприємство “Завод 410 ЦА”,975.0
2017,Державне підприємство “Завод 410 ЦА”,1250.0
2016,Державне підприємство “Завод 410 ЦА”,1250.0
2015,Державне підприємство “Завод 410 ЦА”,1250.0
2014,Державне підприємство “Завод 410 ЦА”,1250.0
2013,Державне підприємство “Завод 410 ЦА”,1250.0
2012,Державне підприємство “Завод 410 ЦА”,1250.0
2011,Державне підприємство “Завод 410 ЦА”,1250.0
2010,Державне підприємство “Завод 410 ЦА”,1250.0
2009,Державне підприємство “Завод 410 ЦА”,1250.0
2008,Державне підприємство “Завод 410 ЦА”,1250.0
2007,Державне підприємство “Завод 410 ЦА”,1750.0
2006,Державне підприємство “Завод 410 ЦА”,2250.0
2005,Державне підприємство “Завод 410 ЦА”,2250.0
2015,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",7.5
2019,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",67.5
2018,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",57.5
2017,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",47.5
2016,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",42.5
2015,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",32.5
2014,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",27.5
2013,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",12.5
2012,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",17.5
2011,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",67.5
2010,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",67.5
2009,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",62.5
2008,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",67.5
2007,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",77.5
2006,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",87.5
2005,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",125.0
2019,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",72.5
2018,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",82.5
2017,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",82.5
2016,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",125.0
2015,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",125.0
2014,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",125.0
2013,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",175.0
2012,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",175.0
2011,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",275.0
2010,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",275.0
2009,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",275.0
2008,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",325.0
2007,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",375.0
2006,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",475.0
2019,"Державне підприємство ""Житомирський ремонтно- механічний завод""",625.0
2018,"Державне підприємство ""Житомирський ремонтно- механічний завод""",725.0
2017,"Державне підприємство ""Житомирський ремонтно- механічний завод""",775.0
2016,"Державне підприємство ""Житомирський ремонтно- механічний завод""",775.0
2015,"Державне підприємство ""Житомирський ремонтно- механічний завод""",775.0
2014,"Державне підприємство ""Житомирський ремонтно- механічний завод""",475.0
2013,"Державне підприємство ""Житомирський ремонтно- механічний завод""",475.0
2012,"Державне підприємство ""Житомирський ремонтно- механічний завод""",475.0
2011,"Державне підприємство ""Житомирський ремонтно- механічний завод""",525.0
2010,"Державне підприємство ""Житомирський ремонтно- механічний завод""",525.0
2009,"Державне підприємство ""Житомирський ремонтно- механічний завод""",575.0
2008,"Державне підприємство ""Житомирський ремонтно- механічний завод""",625.0
2007,"Державне підприємство ""Житомирський ремонтно- механічний завод""",675.0
2006,"Державне підприємство ""Житомирський ремонтно- механічний завод""",725.0
2005,"Державне підприємство ""Житомирський ремонтно- механічний завод""",775.0
2019,"Державне підприємство ""Кіровоградський ремонтний завод""",77.5
2018,"Державне підприємство ""Кіровоградський ремонтний завод""",67.5
2017,"Державне підприємство ""Кіровоградський ремонтний завод""",67.5
2016,"Державне підприємство ""Кіровоградський ремонтний завод""",67.5
2015,"Державне підприємство ""Кіровоградський ремонтний завод""",62.5
2014,"Державне підприємство ""Кіровоградський ремонтний завод""",67.5
2013,"Державне підприємство ""Кіровоградський ремонтний завод""",77.5
2012,"Державне підприємство ""Кіровоградський ремонтний завод""",92.5
2011,"Державне підприємство ""Кіровоградський ремонтний завод""",125.0
2010,"Державне підприємство ""Кіровоградський ремонтний завод""",125.0
2009,"Державне підприємство ""Кіровоградський ремонтний завод""",125.0
2008,"Державне підприємство ""Кіровоградський ремонтний завод""",125.0
2007,"Державне підприємство ""Кіровоградський ремонтний завод""",175.0
2006,"Державне підприємство ""Кіровоградський ремонтний завод""",175.0
2005,"Державне підприємство ""Кіровоградський ремонтний завод""",225.0
2019,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2018,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2017,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2016,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2015,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2014,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2013,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2012,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2011,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2010,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2009,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2008,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2007,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2006,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2005,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",225.0
2019,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
2018,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
2017,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
2016,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
2015,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
2014,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",925.0
