year,name,avg
2013,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2012,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2011,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2010,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2009,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2008,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2007,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2006,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",1250.0
2005,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",975.0
2019,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2018,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2017,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2016,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",775.0
2015,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2014,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2013,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2012,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",825.0
2011,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",925.0
2010,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",925.0
2009,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",925.0
2008,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",925.0
2007,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",1250.0
2006,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",1250.0
2005,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",1250.0
2018,"Державне підприємство ""Київський автомобільний ремонтний завод""",7.5
2019,"Державне підприємство ""Київський автомобільний ремонтний завод""",12.5
2018,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",325.0
2019,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",325.0
2019,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",275.0
2018,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",275.0
2017,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",275.0
2016,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",225.0
2015,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",225.0
2014,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",175.0
2013,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",125.0
2012,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",125.0
2011,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",125.0
2010,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",125.0
2009,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",175.0
2008,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",175.0
2019,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",625.0
2018,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",625.0
2017,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2016,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2015,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2014,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2013,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2012,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2011,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2010,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2009,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",725.0
2008,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",675.0
2007,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",625.0
2006,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",625.0
2005,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",625.0
2019,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",175.0
2018,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",225.0
2017,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",175.0
2016,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",225.0
2015,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",225.0
2014,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",125.0
2013,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",125.0
2012,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",125.0
2011,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",175.0
2019,"Державне підприємство ""171 Чернігівський ремонтний завод""",12.5
2018,"Державне підприємство ""171 Чернігівський ремонтний завод""",12.5
2015,"Державне підприємство ""171 Чернігівський ремонтний завод""",37.5
2014,"Державне підприємство ""171 Чернігівський ремонтний завод""",17.5
2013,"Державне підприємство ""171 Чернігівський ремонтний завод""",27.5
2012,"Державне підприємство ""171 Чернігівський ремонтний завод""",47.5
2011,"Державне підприємство ""171 Чернігівський ремонтний завод""",77.5
2010,"Державне підприємство ""171 Чернігівський ремонтний завод""",77.5
2009,"Державне підприємство ""171 Чернігівський ремонтний завод""",87.5
2008,"Державне підприємство ""171 Чернігівський ремонтний завод""",87.5
2007,"Державне підприємство ""171 Чернігівський ремонтний завод""",125.0
2019,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",675.0
2018,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",725.0
2017,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",825.0
2016,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",875.0
2015,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",825.0
2014,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",675.0
2013,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",825.0
2012,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",925.0
2011,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",875.0
2010,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",875.0
2009,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",875.0
2008,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",925.0
2007,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",975.0
2006,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",925.0
2005,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",925.0
2019,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",7.5
2015,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",7.5
2014,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",17.5
2013,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",17.5
2012,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",17.5
2011,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",17.5
2010,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",12.5
2009,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",1.0
2008,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",1.0
2005,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",125.0
2019,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2018,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2017,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2016,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2015,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2014,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",1250.0
2013,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",975.0
2012,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",925.0
2011,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",875.0
2010,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",875.0
2009,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",875.0
2008,"Державне підприємство Міністерства оборони України ""Луцький ремонтний завод ""Мотор""",825.0
2019,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",425.0
2018,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",375.0
2017,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",325.0
2016,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",325.0
2015,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",225.0
2014,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",175.0
2013,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",125.0
2012,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",125.0
2011,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",275.0
2010,"Державне підприємство ""Харківський бронетанковий ремонтний завод""",275.0
2019,Державне підприємство Міністерства оборони України “Харківський механічний завод”,72.5
2018,Державне підприємство Міністерства оборони України “Харківський механічний завод”,77.5
2015,Державне підприємство Міністерства оборони України “Харківський механічний завод”,97.5
2014,Державне підприємство Міністерства оборони України “Харківський механічний завод”,87.5
2013,Державне підприємство Міністерства оборони України “Харківський механічний завод”,97.5
2012,Державне підприємство Міністерства оборони України “Харківський механічний завод”,125.0
2011,Державне підприємство Міністерства оборони України “Харківський механічний завод”,175.0
2010,Державне підприємство Міністерства оборони України “Харківський механічний завод”,175.0
2016,"Державне підприємство ""Балаклійський ремонтний завод""",275.0
2017,"Державне підприємство ""Балаклійський ремонтний завод""",275.0
2018,"Державне підприємство ""Балаклійський ремонтний завод""",275.0
2019,"Державне підприємство ""Балаклійський ремонтний завод""",225.0
2019,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",52.5
2018,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",72.5
2017,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",77.5
2016,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",87.5
2015,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",125.0
2014,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",125.0
2013,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",125.0
2012,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",125.0
2011,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",175.0
2010,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",175.0
2009,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",175.0
2008,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",225.0
2007,"Державне підприємство ""Рівненський автомобільний ремонтний завод""",225.0
2019,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",325.0
2018,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",325.0
2017,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",275.0
2016,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",275.0
2015,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",325.0
2014,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",325.0
2013,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",375.0
2012,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",375.0
2011,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",525.0
2010,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",525.0
2009,"Державне підприємство ""Чугуївський авіаційний ремонтний завод""",525.0
2019,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",62.5
2018,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",72.5
2017,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",72.5
2016,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",87.5
2015,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",125.0
2014,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",125.0
2013,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",125.0
2012,"Казенне підприємство ""Зміївський ремонтний енергомеханічний завод""",125.0
