year,name,arrears,salary,total
2000,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",10500000.0,445000.0,10945000.0
2000,"Державне підприємство ""Харківський приладобудівний завод ім. Т.Г. Шевченка""",16500000.0,1050000.0,17550000.0
2000,"Державне підприємство ""Херсонський завод суднового обладнання та суднової арматури""",695000.0,57500.0,752500.0
2000,"Державне підприємство ""Центральне конструкторське бюро ""Чорноморець""",705000.0,32500.0,737500.0
2000,Державне підприємство - Львівський науково-дослідний радіотехнічний інститут,2950000.0,3550000.0,6500000.0
2000,"Державне підприємство Виробниче об'єднання ""Луганський верстатобудівний завод""",5750000.0,7050000.0,12800000.0
2000,"Державне підприємство Завод ""Генератор""",6150000.0,2250000.0,8400000.0
2000,Державне підприємство Конструкторське бюро лазерної техніки,125000.0,27500.0,152500.0
2000,Державне підприємство Макіївський державний проектний інститут,355000.0,305000.0,660000.0
2000,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",1150000.0,695000.0,1845000.0
2000,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",845000.0,22500.0,867500.0
2000,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",285000.0,425000.0,710000.0
2000,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",4950000.0,395000.0,5345000.0
2000,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",2250000.0,1150000.0,3400000.0
2000,"Державне підприємство Науково-виробничий комплекс ""Фотоприлад""",9650000.0,2050000.0,11700000.0
2000,"Державне підприємство Науково-дослідний центр ""Вертоліт""",465000.0,77500.0,542500.0
2000,"Державне підприємство Науково-дослідний інститут ""Буран""",335000.0,5000.0,340000.0
2000,Державне підприємство Український радіотехнічний інститут,285000.0,275000.0,560000.0
2000,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",315000.0,545000.0,860000.0
2000,Державне підприємство “Завод 410 ЦА”,9850000.0,455000.0,10305000.0
2000,Донецький казенний завод хімічних виробів,6650000.0,1250000.0,7900000.0
2000,"Запорізьке державне підприємство ""Радіоприлад""",3250000.0,555000.0,3805000.0
2000,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",235000.0,645000.0,880000.0
2000,"Казенне підприємство ""Науково-виробничий комплекс ""Іскра""",11500000.0,305000.0,11805000.0
2000,"Казенне підприємство ""Радіовимірювач""",1750000.0,125000.0,1875000.0
2000,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",545000.0,765000.0,1310000.0
2000,"Казенне підприємство ""Харківське конструкторське бюро з двигунобудування""",2650000.0,52500.0,2702500.0
2000,"Казенне підприємство ""Харківське конструкторське бюро з машинобудування імені О.О. Морозова""",7950000.0,255000.0,8205000.0
2000,"Казенне підприємство ""Шосткинський казенний завод ""Імпульс""",4550000.0,1550000.0,6100000.0
2000,"Казенне підприємство Костянтинівське казенне науково-виробниче підприємство ""Кварсит""",1150000.0,77500.0,1227500.0
2000,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",235000.0,12500.0,247500.0
2000,"Казенне підприємство Шосткинський казенний завод ""Зірка""",6150000.0,945000.0,7095000.0
2000,"Рубіжнянський казенний хімічний завод ""Зоря""",12500000.0,825000.0,13325000.0
2000,"Тернопільське державне науково-технічне підприємство ""Промінь""",1350000.0,1150000.0,2500000.0
2000,Феодосійський казенний оптичний завод,1650000.0,365000.0,2015000.0
2000,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,21500000.0,51500000.0,73000000.0
2000,"Херсонський державний завод ""Палада""",1450000.0,1450000.0,2900000.0
2000,Хімічне казенне об'єднання імені Г.І. Петровського,3850000.0,1850000.0,5700000.0
2000,"Центральне казенне конструкторське бюро ""Протон""",535000.0,595000.0,1130000.0
2001,"""Львівський державний завод ""ЛОРТА""",4350000.0,245000.0,4595000.0
2001,Ізюмський казенний приладобудівний завод,5050000.0,375000.0,5425000.0
2001,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",2750000.0,5000.0,2755000.0
2001,"Державна компанія з експорту та імпорту продукції і послуг військового та спеціального призначення ""Укрспецекспорт""",8050000.0,0.0,8050000.0
2001,Державне Південне виробничо-технічне підприємство,295000.0,115000.0,410000.0
2001,"Державне виробничо-технічне підприємство ""Граніт""",1750000.0,77500.0,1827500.0
2001,"Державне виробничо-технічне підприємство ""Південавіапромналадка""",0.0,235000.0,235000.0
2001,"Державне госпрозрахункове зовнішньоторговельне підприємство ""Спецтехноекспорт""   ",795000.0,0.0,795000.0
2001,"Державне зовнішньоторговельне та інвестиційне підприємство ""Промоборонекспорт""",285000.0,0.0,285000.0
2001,"Державне науково-дослідне підприємство ""Конекс""",245000.0,17500.0,262500.0
2001,"Державне підприємство ""732 Вінницький ремонтний завод""",475000.0,42500.0,517500.0
2001,"Державне підприємство ""Виробниче об'єднання ""Карпати""",495000.0,725000.0,1220000.0
2001,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",915000.0,285000.0,1200000.0
2001,"Державне підприємство ""Горлівський хімічний завод""",2350000.0,6650000.0,9000000.0
2001,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",4550000.0,195000.0,4745000.0
2001,"Державне підприємство ""Дослідно-конструкторське бюро авіації загального призначення""",115000.0,5000.0,120000.0
2001,"Державне підприємство ""Жулянський машинобудівний завод ""Візар""",3950000.0,275000.0,4225000.0
2001,"Державне підприємство ""Завод імені В.О. Малишева"" ",33500000.0,9350000.0,42850000.0
2001,"Державне підприємство ""Закарпатське вертолітне виробниче об'єднання""",405000.0,325000.0,730000.0
2001,"Державне підприємство ""Зовнішньоторговельна фірма ""ТАСКО-експорт""",185000.0,5000.0,190000.0
2001,"Державне підприємство ""Київський державний завод ""Буревісник""",30500000.0,2850000.0,33350000.0
2001,"Державне підприємство ""Київський науково-дослідний інститут гідроприладів""",1050000.0,665000.0,1715000.0
2001,"Державне підприємство ""Конструкторське бюро радіозв'язку""",1550000.0,655000.0,2205000.0
2001,"Державне підприємство ""Конструкторсько-технологічне бюро ""Судокомпозит""",575000.0,235000.0,810000.0
2001,"Державне підприємство ""Красилівський агрегатний завод""",3250000.0,265000.0,3515000.0
2001,"Державне підприємство ""Кіровоградський ремонтний завод""",615000.0,325000.0,940000.0
2001,"Державне підприємство ""Машинобудівна фірма ""Артем""",2550000.0,115000.0,2665000.0
2001,"Державне підприємство ""Науково-дослідний інститут ""Квант""",69500000.0,6850000.0,76350000.0
2001,"Державне підприємство ""Науково-дослідний інститут ""Шторм""",1850000.0,645000.0,2495000.0
2001,"Державне підприємство ""Науково-дослідний інститут аеропружних систем""",1650000.0,105000.0,1755000.0
2001,"Державне підприємство ""Науково-дослідний інститут комплексної автоматизації""",1550000.0,105000.0,1655000.0
2001,"Державне підприємство ""Науково-технічний комплекс ""Завод точної механіки""",805000.0,52500.0,857500.0
2001,"Державне підприємство ""Склопластик""",785000.0,285000.0,1070000.0
2001,"Державне підприємство ""Спеціальне конструкторське бюро ""Спектр""",555000.0,365000.0,920000.0
2001,"Державне підприємство ""Суднобудівний завод ім. 61 комунара""",13500000.0,4150000.0,17650000.0
2001,"Державне підприємство ""Тячівський завод ""Зеніт""",105000.0,265000.0,370000.0
2001,"Державне підприємство ""Український державний науково-дослідний інститут конструкційних матеріалів ""Прометей""",115000.0,175000.0,290000.0
2001,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",1350000.0,195000.0,1545000.0
2001,"Державне підприємство ""Укроборонсервіс""",4350000.0,125000.0,4475000.0
2001,"Державне підприємство ""Феодосійський судномеханічний завод"" Міністерства оборони України",1350000.0,385000.0,1735000.0
2001,"Державне підприємство ""Харківське агрегатне конструкторське бюро""",2050000.0,57500.0,2107500.0
2001,"Державне підприємство ""Харківський завод транспортного устаткування""",3050000.0,945000.0,3995000.0
2001,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",12500000.0,575000.0,13075000.0
2001,"Державне підприємство ""Харківський приладобудівний завод ім. Т.Г. Шевченка""",16500000.0,915000.0,17415000.0
2001,"Державне підприємство ""Херсонський завод суднового обладнання та суднової арматури""",945000.0,32500.0,977500.0
2001,"Державне підприємство ""Центральне конструкторське бюро ""Чорноморець""",1050000.0,87500.0,1137500.0
2001,Державне підприємство - Львівський науково-дослідний радіотехнічний інститут,3050000.0,4150000.0,7200000.0
2001,"Державне підприємство Виробниче об'єднання ""Луганський верстатобудівний завод""",6850000.0,6750000.0,13600000.0
2001,"Державне підприємство Завод ""Генератор""",7250000.0,755000.0,8005000.0
2001,Державне підприємство Конструкторське бюро лазерної техніки,185000.0,12500.0,197500.0
2001,Державне підприємство Макіївський державний проектний інститут,325000.0,325000.0,650000.0
2001,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",1550000.0,395000.0,1945000.0
2001,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",915000.0,32500.0,947500.0
2001,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",265000.0,445000.0,710000.0
2001,"Державне підприємство Міністерства оборони України ""Науково-дослідний інститут радіоелектронної техніки""",0.0,17500.0,17500.0
2001,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",7550000.0,475000.0,8025000.0
2001,"Державне підприємство Міністерства оборони України ""Укроборонлізинг""",0.0,0.0,0.0
2001,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",1750000.0,1250000.0,3000000.0
2001,"Державне підприємство Науково-виробничий комплекс ""Фотоприлад""",10500000.0,1750000.0,12250000.0
2001,"Державне підприємство Науково-дослідний центр ""Вертоліт""",565000.0,32500.0,597500.0
2001,"Державне підприємство Науково-дослідний інститут ""Буран""",395000.0,22500.0,417500.0
2001,"Державне підприємство Науково-дослідний інститут радіолокаційних систем ""Квант-Радіолокація""",2350000.0,215000.0,2565000.0
2001,Державне підприємство Український радіотехнічний інститут,345000.0,245000.0,590000.0
2001,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",315000.0,445000.0,760000.0
2001,Державне підприємство “Завод 410 ЦА”,11500000.0,585000.0,12085000.0
2001,Державне підприємство “Спеціалізована зовнішньоторговельна фірма “Укроборонекспорт”,62500.0,5000.0,67500.0
2001,Донецький казенний завод хімічних виробів,7450000.0,1350000.0,8800000.0
2001,"Запорізьке державне підприємство ""Радіоприлад""",4950000.0,475000.0,5425000.0
2001,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",435000.0,32500.0,467500.0
2001,"Казенне підприємство ""Науково-виробничий комплекс ""Іскра""",13500000.0,775000.0,14275000.0
