year,name,amount
2009,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",165000000.0
2010,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",1050000000.0
2011,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",815000000.0
2012,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",575000000.0
2013,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",735000000.0
2014,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",765000000.0
2015,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",645000000.0
2016,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",705000000.0
2017,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",815000000.0
2018,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",1350000000.0
2019,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",985000000.0
2020,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",1456355000.0
2006,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",20500000.0
2007,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",20500000.0
2008,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",22500000.0
2009,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",21500000.0
2010,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",19500000.0
2011,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",17500000.0
2012,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",14500000.0
2013,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",13500000.0
2014,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",11500000.0
2015,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",11500000.0
2016,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",13500000.0
2017,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",17500000.0
2018,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",16500000.0
2019,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",21500000.0
2020,"Державне підприємство Міністерства оборони України ""63 котельно-зварювальний завод""",16674000.0
2000,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",12500000.0
2001,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",12500000.0
2002,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",13500000.0
2003,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",12500000.0
2004,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",10500000.0
2005,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",9500000.0
2006,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",12500000.0
2007,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",12500000.0
2008,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",14500000.0
2009,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",25500000.0
2010,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",31500000.0
2011,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",29500000.0
2012,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",27500000.0
2013,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",19500000.0
2005,"Державне підприємство ""Житомирський ремонтно- механічний завод""",56500000.0
2006,"Державне підприємство ""Житомирський ремонтно- механічний завод""",67500000.0
2007,"Державне підприємство ""Житомирський ремонтно- механічний завод""",83500000.0
2008,"Державне підприємство ""Житомирський ремонтно- механічний завод""",105000000.0
2009,"Державне підприємство ""Житомирський ремонтно- механічний завод""",105000000.0
2010,"Державне підприємство ""Житомирський ремонтно- механічний завод""",97500000.0
2011,"Державне підприємство ""Житомирський ремонтно- механічний завод""",105000000.0
2012,"Державне підприємство ""Житомирський ремонтно- механічний завод""",105000000.0
2013,"Державне підприємство ""Житомирський ремонтно- механічний завод""",125000000.0
2014,"Державне підприємство ""Житомирський ремонтно- механічний завод""",145000000.0
2015,"Державне підприємство ""Житомирський ремонтно- механічний завод""",195000000.0
2016,"Державне підприємство ""Житомирський ремонтно- механічний завод""",215000000.0
2017,"Державне підприємство ""Житомирський ремонтно- механічний завод""",845000000.0
2018,"Державне підприємство ""Житомирський ремонтно- механічний завод""",765000000.0
2019,"Державне підприємство ""Житомирський ремонтно- механічний завод""",975000000.0
2020,"Державне підприємство ""Житомирський ремонтно- механічний завод""",915385000.0
2000,"Державне підприємство ""Кіровоградський ремонтний завод""",14500000.0
2001,"Державне підприємство ""Кіровоградський ремонтний завод""",14500000.0
2002,"Державне підприємство ""Кіровоградський ремонтний завод""",11500000.0
2003,"Державне підприємство ""Кіровоградський ремонтний завод""",11500000.0
2004,"Державне підприємство ""Кіровоградський ремонтний завод""",10500000.0
2005,"Державне підприємство ""Кіровоградський ремонтний завод""",10500000.0
2006,"Державне підприємство ""Кіровоградський ремонтний завод""",12500000.0
2007,"Державне підприємство ""Кіровоградський ремонтний завод""",35500000.0
2008,"Державне підприємство ""Кіровоградський ремонтний завод""",35500000.0
2009,"Державне підприємство ""Кіровоградський ремонтний завод""",36500000.0
2010,"Державне підприємство ""Кіровоградський ремонтний завод""",35500000.0
2011,"Державне підприємство ""Кіровоградський ремонтний завод""",33500000.0
2012,"Державне підприємство ""Кіровоградський ремонтний завод""",29500000.0
2013,"Державне підприємство ""Кіровоградський ремонтний завод""",29500000.0
2014,"Державне підприємство ""Кіровоградський ремонтний завод""",28500000.0
2015,"Державне підприємство ""Кіровоградський ремонтний завод""",26500000.0
2016,"Державне підприємство ""Кіровоградський ремонтний завод""",27500000.0
2017,"Державне підприємство ""Кіровоградський ремонтний завод""",27500000.0
2018,"Державне підприємство ""Кіровоградський ремонтний завод""",27500000.0
2019,"Державне підприємство ""Кіровоградський ремонтний завод""",30500000.0
2020,"Державне підприємство ""Кіровоградський ремонтний завод""",30103000.0
2005,"Державне підприємство ""Рубін""",20500000.0
2006,"Державне підприємство ""Рубін""",20500000.0
2007,"Державне підприємство ""Рубін""",37500000.0
2008,"Державне підприємство ""Рубін""",38500000.0
2009,"Державне підприємство ""Рубін""",52500000.0
2010,"Державне підприємство ""Рубін""",48500000.0
2003,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",5350000.0
2004,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",5350000.0
2005,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",14500000.0
2006,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",20500000.0
2007,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",17500000.0
2008,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",19500000.0
2009,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",24500000.0
2010,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",43500000.0
2011,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",41500000.0
2012,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",59500000.0
2013,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",56500000.0
2014,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",52500000.0
2015,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",105000000.0
2016,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",135000000.0
2017,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",165000000.0
2018,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",165000000.0
2019,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",135000000.0
2020,"Державне підприємство Міністерства оборони України ""Львівський радіоремонтний завод""",147785000.0
2003,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",54500000.0
2004,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",60500000.0
2005,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",55500000.0
2006,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",195000000.0
2007,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",125000000.0
2008,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",145000000.0
2009,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",195000000.0
2010,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",185000000.0
2011,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",195000000.0
2012,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",235000000.0
2013,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",295000000.0
2014,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",235000000.0
2015,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",285000000.0
2016,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",435000000.0
2017,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",535000000.0
2018,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",515000000.0
2019,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",475000000.0
2020,"Державне підприємство Міністерства оборони України ""Львівський державний авіаційно-ремонтний завод""",469294000.0
2009,"Державне підприємство Міністерства оборони України ""Севастопольське авіаційне підприємство""",41500000.0
2010,"Державне підприємство Міністерства оборони України ""Севастопольське авіаційне підприємство""",68500000.0
2011,"Державне підприємство Міністерства оборони України ""Севастопольське авіаційне підприємство""",52500000.0
2012,"Державне підприємство Міністерства оборони України ""Севастопольське авіаційне підприємство""",74500000.0
2013,"Державне підприємство Міністерства оборони України ""Севастопольське авіаційне підприємство""",135000000.0
2000,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",41500000.0
2001,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",79500000.0
2002,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",95000000.0
2003,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",96500000.0
2004,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",96500000.0
2005,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",135000000.0
2006,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",155000000.0
2007,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",155000000.0
2008,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",155000000.0
2009,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",215000000.0
2010,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",195000000.0
2011,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",155000000.0
2012,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",165000000.0
2013,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",205000000.0
2014,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",225000000.0
2015,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",205000000.0
2016,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",225000000.0
2017,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",275000000.0
2018,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",315000000.0
2019,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",265000000.0
2020,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",246918000.0
2009,"Державне підприємство ""Київський автомобільний ремонтний завод""",90500000.0
2010,"Державне підприємство ""Київський автомобільний ремонтний завод""",94500000.0
2013,"Державне підприємство ""Київський автомобільний ремонтний завод""",14500000.0
2018,"Державне підприємство ""Київський автомобільний ремонтний завод""",91500000.0
2019,"Державне підприємство ""Київський автомобільний ремонтний завод""",95500000.0
2017,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",285000000.0
2018,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",165000000.0
2019,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",175000000.0
2020,"Державне підприємство ""Миколаївський ремонтно-механічний завод""",152513000.0
2008,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",12500000.0
2009,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",12500000.0
2010,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",11500000.0
2011,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",27500000.0
2012,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",54500000.0
2013,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",52500000.0
2014,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",74500000.0
2015,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",195000000.0
2016,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",165000000.0
2017,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",205000000.0
2018,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",185000000.0
2019,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",185000000.0
2020,"Державне підприємство ""110 Харківський автомобільний ремонтний завод""",183456000.0
2002,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",60500000.0
2003,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",66500000.0
2004,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",67500000.0
2005,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",78500000.0
2006,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",70500000.0
2007,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",105000000.0
2008,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",135000000.0
2009,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",125000000.0
2010,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",135000000.0
2011,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",135000000.0
2012,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",185000000.0
2013,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",195000000.0
2014,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",245000000.0
2015,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",295000000.0
2016,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",485000000.0
2017,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",375000000.0
2018,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",355000000.0
2019,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",635000000.0
2020,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",607299000.0
2011,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",19500000.0
2012,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",19500000.0
2013,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",12500000.0
2014,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",19500000.0
2015,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",14500000.0
2016,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",9450000.0
2017,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",28500000.0
2018,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",21500000.0
2019,"Державне підприємство ""126 Харківський автомобільний ремонтний завод""",15500000.0
