year,name,amount
2000,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",10500000.0
2001,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",10500000.0
2002,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2003,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2004,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2005,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2006,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2007,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2008,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2009,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2010,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2011,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",12500000.0
2012,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2013,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",11500000.0
2014,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",85500000.0
2015,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",86500000.0
2016,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",86500000.0
2017,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",97500000.0
2018,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",91500000.0
2019,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",89500000.0
2020,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",92915000.0
2000,Державне підприємство “Завод 410 ЦА”,115000000.0
2001,Державне підприємство “Завод 410 ЦА”,125000000.0
2002,Державне підприємство “Завод 410 ЦА”,115000000.0
2003,Державне підприємство “Завод 410 ЦА”,115000000.0
2004,Державне підприємство “Завод 410 ЦА”,115000000.0
2005,Державне підприємство “Завод 410 ЦА”,105000000.0
2006,Державне підприємство “Завод 410 ЦА”,92500000.0
2007,Державне підприємство “Завод 410 ЦА”,135000000.0
2008,Державне підприємство “Завод 410 ЦА”,145000000.0
2009,Державне підприємство “Завод 410 ЦА”,485000000.0
2010,Державне підприємство “Завод 410 ЦА”,455000000.0
2011,Державне підприємство “Завод 410 ЦА”,425000000.0
2012,Державне підприємство “Завод 410 ЦА”,385000000.0
2013,Державне підприємство “Завод 410 ЦА”,335000000.0
2014,Державне підприємство “Завод 410 ЦА”,365000000.0
2015,Державне підприємство “Завод 410 ЦА”,355000000.0
2016,Державне підприємство “Завод 410 ЦА”,475000000.0
2017,Державне підприємство “Завод 410 ЦА”,535000000.0
2018,Державне підприємство “Завод 410 ЦА”,655000000.0
2019,Державне підприємство “Завод 410 ЦА”,465000000.0
2020,Державне підприємство “Завод 410 ЦА”,547795000.0
2000,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",21500000.0
2001,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",20500000.0
2002,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",19500000.0
2003,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",18500000.0
2004,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",17500000.0
2005,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",17500000.0
2006,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",17500000.0
2007,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",17500000.0
2008,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",16500000.0
2009,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",15500000.0
2010,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",14500000.0
2011,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",15500000.0
2012,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",11500000.0
2013,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",10500000.0
2017,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",5950000.0
2018,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",5950000.0
2019,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",5950000.0
2020,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",6000000.0
2002,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",175000000.0
2003,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",135000000.0
2005,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",145000000.0
2006,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",175000000.0
2007,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",145000000.0
2008,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",125000000.0
