year,name,wear,tear,total
2000,"""Львівський державний завод ""ЛОРТА""",43500000.0,78500000.0,125000000.0
2000,Ізюмський казенний приладобудівний завод,48500000.0,69500000.0,115000000.0
2000,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",2050000.0,525000.0,2550000.0
2000,"Державна компанія з експорту та імпорту продукції і послуг військового та спеціального призначення ""Укрспецекспорт""",8450000.0,1950000.0,10500000.0
2000,Державне Південне виробничо-технічне підприємство,4450000.0,2750000.0,7250000.0
2000,"Державне виробничо-технічне підприємство ""Граніт""",1450000.0,2150000.0,3650000.0
2000,"Державне госпрозрахункове зовнішньоторговельне підприємство ""Спецтехноекспорт""   ",735000.0,87500.0,815000.0
2000,"Державне зовнішньоторговельне та інвестиційне підприємство ""Промоборонекспорт""",235000.0,17500.0,255000.0
2000,"Державне науково-дослідне підприємство ""Конекс""",47500.0,82500.0,125000.0
2000,"Державне підприємство ""732 Вінницький ремонтний завод""",8550000.0,6550000.0,15500000.0
2000,"Державне підприємство ""Виробниче об'єднання ""Карпати""",43500000.0,49500000.0,93500000.0
2000,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",16500000.0,9550000.0,25500000.0
2000,"Державне підприємство ""Горлівський хімічний завод""",82500000.0,92500000.0,175000000.0
2000,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",3950000.0,8950000.0,12500000.0
2000,"Державне підприємство ""Дослідно-конструкторське бюро авіації загального призначення""",175000.0,985000.0,1150000.0
2000,"Державне підприємство ""Жулянський машинобудівний завод ""Візар""",41500000.0,40500000.0,82500000.0
2000,"Державне підприємство ""Закарпатське вертолітне виробниче об'єднання""",27500000.0,4750000.0,32500000.0
2000,"Державне підприємство ""Зовнішньоторговельна фірма ""ТАСКО-експорт""",42500.0,5000.0,47500.0
2000,"Державне підприємство ""Київський державний завод ""Буревісник""",345000000.0,365000000.0,705000000.0
2000,"Державне підприємство ""Київський науково-дослідний інститут гідроприладів""",9850000.0,13500000.0,23500000.0
2000,"Державне підприємство ""Конструкторське бюро радіозв'язку""",7950000.0,9450000.0,17500000.0
2000,"Державне підприємство ""Конструкторсько-технологічне бюро ""Судокомпозит""",1250000.0,2650000.0,3850000.0
2000,"Державне підприємство ""Красилівський агрегатний завод""",29500000.0,30500000.0,60500000.0
2000,"Державне підприємство ""Кіровоградський ремонтний завод""",9150000.0,25500000.0,34500000.0
2000,"Державне підприємство ""Машинобудівна фірма ""Артем""",505000.0,1550000.0,2050000.0
2000,"Державне підприємство ""Науково-дослідний інститут ""Квант""",295000000.0,175000000.0,475000000.0
2000,"Державне підприємство ""Науково-дослідний інститут ""Шторм""",7550000.0,4950000.0,12500000.0
2000,"Державне підприємство ""Науково-дослідний інститут аеропружних систем""",14500000.0,13500000.0,27500000.0
2000,"Державне підприємство ""Науково-дослідний інститут комплексної автоматизації""",22500000.0,19500000.0,42500000.0
2000,"Державне підприємство ""Науково-технічний комплекс ""Завод точної механіки""",3850000.0,7050000.0,10500000.0
2000,"Державне підприємство ""Склопластик""",2450000.0,2650000.0,5050000.0
2000,"Державне підприємство ""Спеціальне конструкторське бюро ""Спектр""",225000.0,3450000.0,3750000.0
2000,"Державне підприємство ""Суднобудівний завод ім. 61 комунара""",135000000.0,145000000.0,285000000.0
2000,"Державне підприємство ""Тячівський завод ""Зеніт""",3750000.0,5750000.0,9450000.0
2000,"Державне підприємство ""Український державний науково-дослідний інститут конструкційних матеріалів ""Прометей""",365000.0,3050000.0,3450000.0
2000,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",8650000.0,7450000.0,16500000.0
2000,"Державне підприємство ""Укроборонсервіс""",2850000.0,545000.0,3350000.0
2000,"Державне підприємство ""Феодосійський судномеханічний завод"" Міністерства оборони України",20500000.0,15500000.0,35500000.0
2000,"Державне підприємство ""Харківське агрегатне конструкторське бюро""",1750000.0,4850000.0,6650000.0
2000,"Державне підприємство ""Харківський завод транспортного устаткування""",55500000.0,61500000.0,115000000.0
2000,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",60500000.0,80500000.0,145000000.0
2000,"Державне підприємство ""Харківський приладобудівний завод ім. Т.Г. Шевченка""",155000000.0,185000000.0,335000000.0
2000,"Державне підприємство ""Херсонський завод суднового обладнання та суднової арматури""",5050000.0,11500000.0,16500000.0
2000,"Державне підприємство ""Центральне конструкторське бюро ""Чорноморець""",865000.0,725000.0,1550000.0
2000,Державне підприємство - Львівський науково-дослідний радіотехнічний інститут,33500000.0,19500000.0,53500000.0
2000,"Державне підприємство Виробниче об'єднання ""Луганський верстатобудівний завод""",115000000.0,195000000.0,315000000.0
2000,"Державне підприємство Завод ""Генератор""",57500000.0,65500000.0,125000000.0
2000,Державне підприємство Конструкторське бюро лазерної техніки,5000.0,0.0,5000.0
2000,Державне підприємство Макіївський державний проектний інститут,6350000.0,2550000.0,8850000.0
2000,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",18500000.0,20500000.0,38500000.0
